Level,Word,Headword,Headword_flag,POS
1,bitty,bit,0,adjective
1,bitsy,bit,0,noun/verb
1,black,black,1,noun/verb/adjective
1,blacked,black,0,verb
1,blacken,black,0,verb
1,blackened,black,0,verb/adjective
1,blackening,black,0,noun/verb
1,blackens,black,0,verb
1,blacker,black,0,adjective
1,blackest,black,0,adjective
1,blacking,black,0,noun/verb
1,blackish,black,0,adjective
1,blackly,black,0,adverb
1,blackness,black,0,noun
1,blacks,black,0,noun/verb
1,blood,blood,1,noun/verb
1,blooded,blood,0,verb/adjective
1,bloodied,blood,0,verb
1,bloodier,blood,0,adjective
1,bloodies,blood,0,verb
1,bloodiest,blood,0,adjective
1,bloodiness,blood,0,noun
1,bloodless,blood,0,adjective
1,bloodlessly,blood,0,adverb
1,bloodlessness,blood,0,noun
1,bloods,blood,0,noun/verb
1,bloody,blood,0,verb/adjective/adverb
1,bloodying,blood,0,verb
1,blow,blow,1,noun/verb
1,blew,blow,0,verb
1,blowed,blow,0,verb
1,blower,blow,0,noun
1,blowers,blow,0,noun
1,blowing,blow,0,noun/verb
1,blown,blow,0,verb/adjective
1,blows,blow,0,noun/verb
1,blue,blue,1,noun/verb/adjective
1,blueness,blue,0,noun
1,bluer,blue,0,adjective
1,blues,blue,0,noun/verb
1,bluest,blue,0,adjective
1,bluey,blue,0,noun/verb/adjective
1,bluish,blue,0,adjective
1,board,board,1,noun/verb
1,boards,board,0,noun/verb
1,boat,boat,1,noun/verb
1,boated,boat,0,verb
1,boating,boat,0,noun/verb
1,boats,boat,0,noun/verb
1,body,body,1,noun/verb
1,bodied,body,0,verb/adjective
1,bodies,body,0,noun/verb
1,bodily,body,0,adjective/adverb
1,bone,bone,1,noun/verb/adjective
1,boned,bone,0,verb/adjective
1,boneless,bone,0,adjective
1,bones,bone,0,noun/verb
1,boney,bone,0,adjective
1,bonier,bone,0,adjective
1,boniest,bone,0,adjective
1,boniness,bone,0,noun
1,boning,bone,0,verb
1,bony,bone,0,adjective
1,book,book,1,noun/verb
1,bookish,book,0,adjective
1,booklet,book,0,noun
1,booklets,book,0,noun
1,books,book,0,noun/verb
1,boring,boring,1,noun/verb/adjective
1,bored,boring,0,verb/adjective
1,boredom,boring,0,noun
1,bores,boring,0,noun/verb
1,boringly,boring,0,adverb
1,born,born,1,noun/verb/adjective
1,reborn,born,0,adjective
1,unborn,born,0,adjective
1,both,both,1,determiner
1,bother,bother,1,noun/verb
1,bothered,bother,0,verb/adjective
1,bothering,bother,0,verb
1,bothers,bother,0,noun/verb
1,bothersome,bother,0,adjective
1,bovver,bother,0,noun/verb
1,bottle,bottle,1,noun/verb
1,bottled,bottle,0,verb
